points,pass_atts,pass_cmps,pass_yds,pass_tds,pass_ints,pass_2pts,rush_atts,rush_yds,rush_tds,rush_2pts,recs,rec_yds,rec_tds,rec_2pts,fumbles_lost,is_QB,is_RB,is_WR,is_TE,prev_points
352.00,572,347,"3,821",31,8,4,58,344,1,0,0,0,0,0,4,1,0,0,0,449.00
271.00,614,407,"4,591",21,16,1,36,63,0,0,0,0,0,0,5,1,0,0,0,412.00
365.00,627,428,"4,870",32,11,0,24,14,1,0,0,0,0,0,2,1,0,0,0,401.00
157.00,293,162,"1,881",15,12,1,33,196,0,0,0,0,0,0,1,1,0,0,0,364.00
344.00,543,379,"4,166",29,11,2,26,48,5,0,0,0,0,0,3,1,0,0,0,343.00
337.00,661,437,"4,792",29,13,2,17,28,0,0,0,0,0,0,2,1,0,0,0,321.00
337.00,661,437,"4,792",29,13,2,17,28,0,0,0,0,0,0,2,1,0,0,0,321.00
347.00,592,398,"4,262",32,13,0,44,159,1,0,1,-6,0,0,2,1,0,0,0,317.00
329.00,573,350,"3,987",32,13,1,33,138,0,0,0,0,0,0,3,1,0,0,0,316.00
377.00,606,355,"4,428",35,18,1,52,310,2,0,0,0,0,0,5,1,0,0,0,312.00
410.00,624,402,"4,770",36,7,0,34,53,3,0,1,36,0,0,2,1,0,0,0,307.00
264.00,469,319,"3,938",21,16,8,15,29,0,0,0,-3,0,0,0,1,0,0,0,306.00
307.00,535,312,"4,042",22,15,1,54,213,6,0,0,0,0,0,2,1,0,0,0,305.00
243.00,370,230,"2,818",19,10,3,34,252,2,0,1,41,1,0,6,1,0,0,0,304.00
393.00,483,329,"4,024",34,8,0,103,553,1,0,0,0,0,0,3,1,0,0,0,302.00
300.00,380,242,"3,035",20,6,0,104,568,4,1,1,4,0,0,1,1,0,0,0,290.00
372.00,537,342,"4,671",35,11,0,25,24,1,0,0,0,0,0,2,1,0,0,0,290.00
286.00,386,255,"3,250",25,7,0,57,142,3,0,0,0,0,0,2,1,0,0,0,289.00
447.00,495,296,"3,837",35,10,0,132,636,10,0,0,0,0,0,4,1,0,0,0,281.00
352.00,618,387,"4,432",35,14,0,20,61,0,0,0,0,0,0,4,1,0,0,0,274.00
185.00,413,266,"2,791",14,12,1,13,23,3,0,0,0,0,0,2,1,0,0,0,274.00
225.00,532,346,"3,725",19,14,0,26,39,0,0,0,0,0,0,3,1,0,0,0,256.00
299.00,470,307,"3,486",20,7,2,84,498,2,0,0,0,0,0,0,1,0,0,0,247.00
299.00,470,307,"3,486",20,7,2,84,498,2,0,0,0,0,0,0,1,0,0,0,247.00
116.00,244,144,"1,615",6,5,1,45,256,1,0,0,0,0,0,1,1,0,0,0,226.00
0.00,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,223.00
297.00,586,363,"4,208",24,12,1,32,141,1,0,1,9,0,0,3,1,0,0,0,221.00
130.00,275,170,"1,967",10,6,0,21,61,1,0,0,0,0,0,1,1,0,0,0,191.00
336.00,562,335,"3,905",31,15,0,60,270,2,0,0,0,0,0,2,1,0,0,0,147.00
51.00,125,76,828,4,1,0,12,5,0,0,0,0,0,0,2,1,0,0,0,122.00
199.00,369,224,"2,606",19,7,0,15,44,0,0,0,0,0,0,2,1,0,0,0,90.00
199.00,369,224,"2,606",19,7,0,15,44,0,0,0,0,0,0,2,1,0,0,0,90.00
199.00,369,224,"2,606",19,7,0,15,44,0,0,0,0,0,0,2,1,0,0,0,90.00
143.00,282,178,"2,031",10,7,0,32,185,1,0,0,0,0,0,1,1,0,0,0,80.00
0.00,1,1,14,0,0,0,3,-2,0,0,0,0,0,0,0,1,0,0,0,69.00
0.00,1,1,14,0,0,0,3,-2,0,0,0,0,0,0,0,1,0,0,0,69.00
156.00,292,186,"2,109",12,4,2,20,98,1,0,0,0,0,0,6,1,0,0,0,65.00
156.00,292,186,"2,109",12,4,2,20,98,1,0,0,0,0,0,6,1,0,0,0,65.00
264.00,483,311,"3,659",21,11,1,38,201,1,0,0,0,0,0,5,1,0,0,0,54.00
0.00,4,1,6,0,0,0,5,-5,0,0,0,0,0,0,0,1,0,0,0,44.00
27.00,55,32,513,3,4,0,5,-5,0,0,0,0,0,0,1,1,0,0,0,42.00
27.00,55,32,513,3,4,0,5,-5,0,0,0,0,0,0,1,1,0,0,0,42.00
106.00,337,190,"2,052",7,10,1,17,20,1,0,0,0,0,0,2,1,0,0,0,33.00
